incident_id,created_at,resolved_at,severity,resolution_time_hours,root_cause,category_clean,assigned_team,shift,hour,day_of_week,month,priority
INC0000045,2016-02-29 01:16:00,2016-02-29 11:29:00,2 - Medium,10.216666666666667,Server Overload,Security / Access Issues,Security Operations Team,Night,1,Monday,February,P2 - High
INC0000047,2016-02-29 04:40:00,2016-03-01 09:52:00,2 - Medium,29.2,Server Overload,Server Infrastructure,Infrastructure Operations Team,Night,4,Monday,February,P2 - High
INC0000057,2016-02-29 06:10:00,2016-03-01 02:55:00,2 - Medium,20.75,Third-Party Service Failure,Database Issues,Database Administration Team,Night,6,Monday,February,P2 - High
INC0000060,2016-02-29 06:38:00,2016-03-02 12:06:00,2 - Medium,53.46666666666667,Application Bug,Network Issues,Network Operations Team,Night,6,Monday,February,P2 - High
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,2 - Medium,8.883333333333333,API Timeout,Security / Access Issues,Security Operations Team,Night,6,Monday,February,P2 - High
INC0000063,2016-02-29 07:08:00,2016-02-29 16:01:00,2 - Medium,8.883333333333333,API Timeout,Database Issues,Database Administration Team,Night,7,Monday,February,P2 - High
INC0000064,2016-02-29 07:10:00,2016-03-03 16:00:00,2 - Medium,80.83333333333333,Authentication Failure,Security / Access Issues,Security Operations Team,Night,7,Monday,February,P2 - High
INC0000065,2016-02-29 07:38:00,2016-03-02 15:21:00,2 - Medium,55.71666666666667,Network Failure,Integration / API Issues,Integration Support Team,Night,7,Monday,February,P2 - High
INC0000066,2016-02-29 08:03:00,2016-03-02 14:37:00,2 - Medium,54.56666666666667,Server Overload,Security / Access Issues,Security Operations Team,Morning,8,Monday,February,P2 - High
INC0000067,2016-02-29 08:03:00,2016-03-02 11:11:00,2 - Medium,51.13333333333333,Network Failure,Network Issues,Network Operations Team,Morning,8,Monday,February,P2 - High
INC0000070,2016-02-29 08:11:00,2016-03-08 09:55:00,2 - Medium,193.73333333333332,Data Corruption,Network Issues,Network Operations Team,Morning,8,Monday,February,P2 - High
INC0000071,2016-02-29 08:12:00,2016-03-01 10:38:00,2 - Medium,26.433333333333334,Server Overload,Network Issues,Network Operations Team,Morning,8,Monday,February,P2 - High
INC0000073,2016-02-29 08:22:00,2016-03-01 15:37:00,2 - Medium,31.25,Data Corruption,Security / Access Issues,Security Operations Team,Morning,8,Monday,February,P2 - High
INC0000074,2016-02-29 08:23:00,2016-04-11 14:39:00,2 - Medium,1014.2666666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,8,Monday,February,P2 - High
INC0000076,2016-02-29 08:25:00,2016-02-29 16:27:00,2 - Medium,8.033333333333333,Server Overload,Integration / API Issues,Integration Support Team,Morning,8,Monday,February,P2 - High
INC0000077,2016-02-29 08:27:00,2016-02-29 09:04:00,2 - Medium,0.6166666666666667,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,8,Monday,February,P2 - High
INC0000079,2016-02-29 08:32:00,2016-02-29 11:20:00,2 - Medium,2.8,Authentication Failure,Network Issues,Network Operations Team,Morning,8,Monday,February,P2 - High
INC0000080,2016-02-29 08:33:00,2016-03-02 11:40:00,2 - Medium,51.11666666666667,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,8,Monday,February,P2 - High
INC0000083,2016-02-29 08:39:00,2016-02-29 16:05:00,3 - Low,7.433333333333334,API Timeout,Application Errors,Application Support Team,Morning,8,Monday,February,P3 - Medium
INC0000084,2016-02-29 08:39:00,2016-04-12 14:46:00,3 - Low,1038.1166666666666,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,8,Monday,February,P3 - Medium
INC0000085,2016-02-29 08:41:00,2016-03-02 14:44:00,2 - Medium,54.05,API Timeout,Database Issues,Database Administration Team,Morning,8,Monday,February,P2 - High
INC0000086,2016-02-29 08:43:00,2016-03-01 15:45:00,2 - Medium,31.033333333333335,API Timeout,Application Errors,Application Support Team,Morning,8,Monday,February,P2 - High
INC0000087,2016-02-29 08:47:00,2016-03-02 14:46:00,2 - Medium,53.983333333333334,API Timeout,Security / Access Issues,Security Operations Team,Morning,8,Monday,February,P2 - High
INC0000088,2016-02-29 08:48:00,2016-02-29 09:05:00,2 - Medium,0.2833333333333333,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,8,Monday,February,P2 - High
INC0000089,2016-02-29 08:51:00,2016-03-03 14:35:00,2 - Medium,77.73333333333333,Network Failure,Integration / API Issues,Integration Support Team,Morning,8,Monday,February,P2 - High
INC0000092,2016-02-29 08:55:00,2016-03-07 08:45:00,2 - Medium,167.83333333333334,Server Overload,Security / Access Issues,Security Operations Team,Morning,8,Monday,February,P2 - High
INC0000094,2016-02-29 08:58:00,2016-03-10 10:45:00,3 - Low,241.78333333333333,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,8,Monday,February,P3 - Medium
INC0000098,2016-02-29 09:02:00,2016-03-02 14:51:00,2 - Medium,53.81666666666667,API Timeout,Database Issues,Database Administration Team,Morning,9,Monday,February,P2 - High
INC0000099,2016-02-29 09:03:00,2016-03-01 09:05:00,2 - Medium,24.033333333333335,Memory Leak,Application Errors,Application Support Team,Morning,9,Monday,February,P2 - High
INC0000100,2016-02-29 09:05:00,2016-03-02 14:53:00,2 - Medium,53.8,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000101,2016-02-29 09:05:00,2016-02-29 11:00:00,2 - Medium,1.9166666666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,9,Monday,February,P2 - High
INC0000102,2016-02-29 09:06:00,2016-03-17 16:28:00,2 - Medium,415.3666666666667,Configuration Error,Server Infrastructure,Infrastructure Operations Team,Morning,9,Monday,February,P2 - High
INC0000103,2016-02-29 09:07:00,2016-03-02 14:54:00,2 - Medium,53.78333333333333,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000104,2016-02-29 09:08:00,2016-03-01 11:55:00,2 - Medium,26.783333333333335,Authentication Failure,Application Errors,Application Support Team,Morning,9,Monday,February,P2 - High
INC0000105,2016-02-29 09:10:00,2016-02-29 11:58:00,2 - Medium,2.8,Disk Space Issue,Integration / API Issues,Integration Support Team,Morning,9,Monday,February,P2 - High
INC0000110,2016-02-29 09:13:00,2016-03-02 14:55:00,2 - Medium,53.7,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000111,2016-02-29 09:14:00,2016-03-02 14:56:00,2 - Medium,53.7,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000112,2016-02-29 09:15:00,2016-03-02 15:13:00,2 - Medium,53.96666666666667,API Timeout,Server Infrastructure,Infrastructure Operations Team,Morning,9,Monday,February,P2 - High
INC0000113,2016-02-29 09:18:00,2016-03-02 19:30:00,2 - Medium,58.2,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000114,2016-02-29 09:18:00,2016-03-03 01:18:00,2 - Medium,64.0,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
