Category 14,Security & Access
Category 22,Performance & Monitoring
Category 9,Performance & Monitoring
Category 29,Operations & Process
Category 46,Infrastructure & System
Category 24,Infrastructure & System
Category 27,General / Unknown
Category 12,Integration & API
Category 47,Operations & Process
Category 63,Infrastructure & System
Category 32,Application & Software
Category 5,General / Unknown
Category 59,General / Unknown
Category 37,Integration & API
Category 15,General / Unknown
Category 62,Infrastructure & System
Category 13,Data & Database
Category 56,Operations & Process
Category 35,General / Unknown
Category 61,Infrastructure & System
Category 4,General / Unknown
Category 53,Application & Software
Category 54,Operations & Process
Category 28,Infrastructure & System
Category 44,Security & Access
Category 6,General / Unknown
Category 30,Operations & Process
Category 19,General / Unknown
Category 45,Performance & Monitoring
Category 57,Application & Software
Category 50,Operations & Process
Category 51,General / Unknown
Category 26,Infrastructure & System
Category 41,Security & Access
Category 8,Integration & API
Category 42,Security & Access
Category 25,Operations & Process
Category 34,Application & Software
Category 7,Security & Access
Category 20,Infrastructure & System
Category 48,General / Unknown
Category 52,General / Unknown
Other,General / Unknown
Category 43,Application & Software
Category 10,General / Unknown
Category 17,Infrastructure & System
Category 40,Performance & Monitoring
Category 55,Application & Software
Category 31,Application & Software
Category 2,General / Unknown
Category 23,Data & Database
Category 16,Operations & Process
Category 33,General / Unknown
Category 21,Operations & Process
Category 3,General / Unknown
Category 38,Data & Database
