incident_id,created_at,resolved_at,severity,category,team_assigned,closed_code,resolution_time_hour,shift,hour,day_of_week,month,priority,sla_breach
INC0002915,3/6/2016 8:50,3/11/2016 16:53,2 - Medium,Category 45,Group 70,code 7,128.05,Morning,8,Sunday,March    ,P2-High,Yes
INC0002925,3/6/2016 9:40,3/6/2016 9:46,2 - Medium,Category 43,Group 70,code 6,0.1,Morning,9,Sunday,March    ,P2-High,No
INC0002928,3/6/2016 10:27,3/6/2016 10:31,2 - Medium,Category 32,Group 70,code 7,0.066666667,Morning,10,Sunday,March    ,P2-High,No
INC0002933,3/6/2016 10:52,3/7/2016 2:04,2 - Medium,Category 26,Group 70,code 6,15.2,Morning,10,Sunday,March    ,P2-High,No
INC0002934,3/6/2016 10:52,3/6/2016 22:15,2 - Medium,Category 26,Group 70,code 7,11.38333333,Morning,10,Sunday,March    ,P2-High,No
INC0002935,3/6/2016 10:52,3/7/2016 2:11,2 - Medium,Category 26,Group 70,code 7,15.31666667,Morning,10,Sunday,March    ,P2-High,No
INC0002936,3/6/2016 10:52,3/6/2016 18:59,2 - Medium,Category 26,Group 70,code 7,8.116666667,Morning,10,Sunday,March    ,P2-High,No
INC0002938,3/6/2016 10:52,3/7/2016 2:08,2 - Medium,Category 26,Group 70,code 7,15.26666667,Morning,10,Sunday,March    ,P2-High,No
INC0002939,3/6/2016 10:52,3/7/2016 2:47,2 - Medium,Category 26,Group 70,code 7,15.91666667,Morning,10,Sunday,March    ,P2-High,No
INC0002940,3/6/2016 10:53,3/6/2016 19:18,2 - Medium,Category 26,Group 70,code 7,8.416666667,Morning,10,Sunday,March    ,P2-High,No
INC0002945,3/6/2016 11:10,3/22/2016 11:39,2 - Medium,Category 13,Group 70,code 6,384.4833333,Morning,11,Sunday,March    ,P2-High,Yes
INC0002956,3/6/2016 11:54,3/9/2016 10:44,2 - Medium,Category 9,Group 28,code 6,70.83333333,Morning,11,Sunday,March    ,P2-High,No
INC0002958,3/6/2016 12:27,3/7/2016 10:08,2 - Medium,Category 45,Group 53,code 6,21.68333333,Morning,12,Sunday,March    ,P2-High,No
INC0002959,3/6/2016 12:29,3/6/2016 14:41,2 - Medium,Category 61,Group 70,code 6,2.2,Morning,12,Sunday,March    ,P2-High,No
INC0003686,3/7/2016 15:10,3/10/2016 10:13,2 - Medium,Category 45,Group 70,code 9,67.05,Evening,15,Monday,March    ,P2-High,No
INC0002964,3/6/2016 14:12,3/6/2016 18:25,2 - Medium,Category 32,Group 70,code 5,4.216666667,Morning,14,Sunday,March    ,P2-High,No
INC0002965,3/6/2016 14:19,3/6/2016 14:24,2 - Medium,Category 53,Group 70,code 6,0.083333333,Morning,14,Sunday,March    ,P2-High,No
INC0001457,3/2/2016 15:59,3/10/2016 16:26,2 - Medium,Category 40,Group 70,code 6,192.45,Evening,15,Wednesday,March    ,P2-High,Yes
INC0001459,3/2/2016 16:00,3/2/2016 17:09,2 - Medium,Category 42,Group 55,code 6,1.15,Evening,16,Wednesday,March    ,P2-High,No
INC0002968,3/6/2016 15:31,3/6/2016 15:41,2 - Medium,Category 32,Group 70,code 6,0.166666667,Evening,15,Sunday,March    ,P2-High,No
INC0000101,2/29/2016 9:05,2/29/2016 11:00,2 - Medium,Category 42,Group 65,code 6,1.916666667,Morning,9,Monday,February ,P2-High,No
INC0002603,3/4/2016 15:25,3/7/2016 16:51,1 - High,Category 20,Group 70,code 6,73.43333333,Evening,15,Friday,March    ,P1-Critical,Yes
INC0002969,3/6/2016 15:41,3/6/2016 15:45,2 - Medium,Category 45,Group 70,code 6,0.066666667,Evening,15,Sunday,March    ,P2-High,No
INC0002971,3/6/2016 16:04,3/7/2016 15:15,2 - Medium,Category 53,Group 70,code 6,23.18333333,Evening,16,Sunday,March    ,P2-High,No
INC0002972,3/6/2016 16:11,3/6/2016 16:43,2 - Medium,Category 45,Group 70,code 6,0.533333333,Evening,16,Sunday,March    ,P2-High,No
INC0002974,3/6/2016 16:16,3/6/2016 16:23,2 - Medium,Category 45,Group 70,code 6,0.116666667,Evening,16,Sunday,March    ,P2-High,No
INC0002976,3/6/2016 16:38,3/7/2016 11:59,2 - Medium,Category 51,Group 54,code 7,19.35,Evening,16,Sunday,March    ,P2-High,No
INC0002977,3/6/2016 16:44,3/7/2016 10:43,2 - Medium,Category 55,Group 65,code 7,17.98333333,Evening,16,Sunday,March    ,P2-High,No
INC0002979,3/6/2016 17:12,3/6/2016 17:19,2 - Medium,Category 45,Group 70,code 6,0.116666667,Evening,17,Sunday,March    ,P2-High,No
INC0002983,3/6/2016 17:40,3/8/2016 13:48,2 - Medium,Category 37,Group 25,code 6,44.13333333,Evening,17,Sunday,March    ,P2-High,No
INC0002984,3/6/2016 17:43,3/9/2016 1:12,2 - Medium,Category 45,Group 70,code 6,55.48333333,Evening,17,Sunday,March    ,P2-High,No
INC0002985,3/6/2016 17:49,3/7/2016 8:45,2 - Medium,Category 53,Group 70,code 9,14.93333333,Evening,17,Sunday,March    ,P2-High,No
INC0002986,3/6/2016 18:11,3/16/2016 16:24,2 - Medium,Category 26,Group 70,code 6,238.2166667,Evening,18,Sunday,March    ,P2-High,Yes
INC0000826,3/1/2016 16:01,3/3/2016 16:34,2 - Medium,Category 35,Group 70,code 6,48.55,Evening,16,Tuesday,March    ,P2-High,No
INC0000827,3/1/2016 16:03,3/2/2016 19:45,2 - Medium,Category 26,Group 70,code 6,27.7,Evening,16,Tuesday,March    ,P2-High,No
INC0002987,3/6/2016 18:13,3/6/2016 19:43,2 - Medium,Category 32,Group 70,code 6,1.5,Evening,18,Sunday,March    ,P2-High,No
INC0002989,3/6/2016 18:44,3/6/2016 18:49,2 - Medium,Category 42,Group 70,code 7,0.083333333,Evening,18,Sunday,March    ,P2-High,No
INC0002990,3/6/2016 18:47,3/10/2016 12:08,2 - Medium,Category 63,Group 25,code 6,89.35,Evening,18,Sunday,March    ,P2-High,Yes
INC0002993,3/6/2016 19:54,3/23/2016 12:08,2 - Medium,Category 23,Group 62,code 6,400.2333333,Evening,19,Sunday,March    ,P2-High,Yes
INC0002996,3/6/2016 20:27,3/14/2016 16:00,2 - Medium,Category 23,Group 28,code 6,187.55,Evening,20,Sunday,March    ,P2-High,Yes
INC0002997,3/6/2016 20:59,3/7/2016 0:58,2 - Medium,Category 32,Group 70,code 6,3.983333333,Evening,20,Sunday,March    ,P2-High,No
INC0003003,3/6/2016 22:02,3/10/2016 8:15,2 - Medium,Category 53,Group 70,code 6,82.21666667,Evening,22,Sunday,March    ,P2-High,No
INC0003005,3/6/2016 22:22,3/15/2016 15:03,2 - Medium,Category 26,Group 70,code 1,208.6833333,Evening,22,Sunday,March    ,P2-High,Yes
INC0003006,3/6/2016 22:24,3/9/2016 12:37,2 - Medium,Category 53,Group 25,code 6,62.21666667,Evening,22,Sunday,March    ,P2-High,No
INC0003007,3/6/2016 22:32,3/16/2016 16:26,2 - Medium,Category 55,Group 70,code 6,233.9,Evening,22,Sunday,March    ,P2-High,Yes
INC0003008,3/6/2016 22:48,3/6/2016 22:58,2 - Medium,Category 45,Group 70,code 7,0.166666667,Evening,22,Sunday,March    ,P2-High,No
INC0003010,3/6/2016 23:19,3/8/2016 8:43,2 - Medium,Category 61,Group 73,code 6,33.4,Night,23,Sunday,March    ,P2-High,No
INC0003012,3/6/2016 23:33,3/15/2016 17:37,2 - Medium,Category 20,Group 70,code 1,210.0666667,Night,23,Sunday,March    ,P2-High,Yes
INC0003013,3/7/2016 0:08,3/15/2016 15:30,2 - Medium,Category 37,Group 72,code 6,207.3666667,Night,0,Monday,March    ,P2-High,Yes
INC0003015,3/7/2016 0:36,3/18/2016 19:37,2 - Medium,Category 23,Group 70,code 6,283.0166667,Night,0,Monday,March    ,P2-High,Yes
INC0003016,3/7/2016 1:35,3/23/2016 14:57,2 - Medium,Category 24,Group 25,code 5,397.3666667,Night,1,Monday,March    ,P2-High,Yes
INC0003020,3/7/2016 4:32,3/24/2016 11:22,2 - Medium,Category 40,Group 70,code 6,414.8333333,Night,4,Monday,March    ,P2-High,Yes
