incident_id,created_at,resolved_at,severity,resolution_time_hours,root_cause,category_clean,assigned_team
INC0000045,2016-02-29 01:16:00,2016-02-29 11:29:00,2 - Medium,10.216666666666667,Server Overload,Security / Access Issues,Security Operations Team
INC0000047,2016-02-29 04:40:00,2016-03-01 09:52:00,2 - Medium,29.2,Server Overload,Server Infrastructure,Infrastructure Operations Team
INC0000057,2016-02-29 06:10:00,2016-03-01 02:55:00,2 - Medium,20.75,Third-Party Service Failure,Database Issues,Database Administration Team
INC0000060,2016-02-29 06:38:00,2016-03-02 12:06:00,2 - Medium,53.46666666666667,Application Bug,Network Issues,Network Operations Team
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,2 - Medium,8.883333333333333,API Timeout,Security / Access Issues,Security Operations Team
INC0000063,2016-02-29 07:08:00,2016-02-29 16:01:00,2 - Medium,8.883333333333333,API Timeout,Database Issues,Database Administration Team
INC0000064,2016-02-29 07:10:00,2016-03-03 16:00:00,2 - Medium,80.83333333333333,Authentication Failure,Security / Access Issues,Security Operations Team
INC0000065,2016-02-29 07:38:00,2016-03-02 15:21:00,2 - Medium,55.71666666666667,Network Failure,Integration / API Issues,Integration Support Team
INC0000066,2016-02-29 08:03:00,2016-03-02 14:37:00,2 - Medium,54.56666666666667,Server Overload,Security / Access Issues,Security Operations Team
INC0000067,2016-02-29 08:03:00,2016-03-02 11:11:00,2 - Medium,51.13333333333333,Network Failure,Network Issues,Network Operations Team
INC0000070,2016-02-29 08:11:00,2016-03-08 09:55:00,2 - Medium,193.73333333333332,Data Corruption,Network Issues,Network Operations Team
INC0000071,2016-02-29 08:12:00,2016-03-01 10:38:00,2 - Medium,26.433333333333334,Server Overload,Network Issues,Network Operations Team
INC0000073,2016-02-29 08:22:00,2016-03-01 15:37:00,2 - Medium,31.25,Data Corruption,Security / Access Issues,Security Operations Team
INC0000074,2016-02-29 08:23:00,2016-04-11 14:39:00,2 - Medium,1014.2666666666667,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000076,2016-02-29 08:25:00,2016-02-29 16:27:00,2 - Medium,8.033333333333333,Server Overload,Integration / API Issues,Integration Support Team
INC0000077,2016-02-29 08:27:00,2016-02-29 09:04:00,2 - Medium,0.6166666666666667,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000079,2016-02-29 08:32:00,2016-02-29 11:20:00,2 - Medium,2.8,Authentication Failure,Network Issues,Network Operations Team
INC0000080,2016-02-29 08:33:00,2016-03-02 11:40:00,2 - Medium,51.11666666666667,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000083,2016-02-29 08:39:00,2016-02-29 16:05:00,3 - Low,7.433333333333334,API Timeout,Application Errors,Application Support Team
INC0000084,2016-02-29 08:39:00,2016-04-12 14:46:00,3 - Low,1038.1166666666666,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000085,2016-02-29 08:41:00,2016-03-02 14:44:00,2 - Medium,54.05,API Timeout,Database Issues,Database Administration Team
INC0000086,2016-02-29 08:43:00,2016-03-01 15:45:00,2 - Medium,31.033333333333335,API Timeout,Application Errors,Application Support Team
INC0000087,2016-02-29 08:47:00,2016-03-02 14:46:00,2 - Medium,53.983333333333334,API Timeout,Security / Access Issues,Security Operations Team
INC0000088,2016-02-29 08:48:00,2016-02-29 09:05:00,2 - Medium,0.2833333333333333,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000089,2016-02-29 08:51:00,2016-03-03 14:35:00,2 - Medium,77.73333333333333,Network Failure,Integration / API Issues,Integration Support Team
INC0000092,2016-02-29 08:55:00,2016-03-07 08:45:00,2 - Medium,167.83333333333334,Server Overload,Security / Access Issues,Security Operations Team
INC0000094,2016-02-29 08:58:00,2016-03-10 10:45:00,3 - Low,241.78333333333333,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000098,2016-02-29 09:02:00,2016-03-02 14:51:00,2 - Medium,53.81666666666667,API Timeout,Database Issues,Database Administration Team
INC0000099,2016-02-29 09:03:00,2016-03-01 09:05:00,2 - Medium,24.033333333333335,Memory Leak,Application Errors,Application Support Team
INC0000100,2016-02-29 09:05:00,2016-03-02 14:53:00,2 - Medium,53.8,API Timeout,Security / Access Issues,Security Operations Team
INC0000101,2016-02-29 09:05:00,2016-02-29 11:00:00,2 - Medium,1.9166666666666667,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000102,2016-02-29 09:06:00,2016-03-17 16:28:00,2 - Medium,415.3666666666667,Configuration Error,Server Infrastructure,Infrastructure Operations Team
INC0000103,2016-02-29 09:07:00,2016-03-02 14:54:00,2 - Medium,53.78333333333333,API Timeout,Security / Access Issues,Security Operations Team
INC0000104,2016-02-29 09:08:00,2016-03-01 11:55:00,2 - Medium,26.783333333333335,Authentication Failure,Application Errors,Application Support Team
INC0000105,2016-02-29 09:10:00,2016-02-29 11:58:00,2 - Medium,2.8,Disk Space Issue,Integration / API Issues,Integration Support Team
INC0000110,2016-02-29 09:13:00,2016-03-02 14:55:00,2 - Medium,53.7,API Timeout,Security / Access Issues,Security Operations Team
INC0000111,2016-02-29 09:14:00,2016-03-02 14:56:00,2 - Medium,53.7,API Timeout,Security / Access Issues,Security Operations Team
INC0000112,2016-02-29 09:15:00,2016-03-02 15:13:00,2 - Medium,53.96666666666667,API Timeout,Server Infrastructure,Infrastructure Operations Team
INC0000113,2016-02-29 09:18:00,2016-03-02 19:30:00,2 - Medium,58.2,Authentication Failure,Security / Access Issues,Security Operations Team
INC0000114,2016-02-29 09:18:00,2016-03-03 01:18:00,2 - Medium,64.0,API Timeout,Security / Access Issues,Security Operations Team
INC0000115,2016-02-29 09:20:00,2016-03-01 08:50:00,2 - Medium,23.5,Disk Space Issue,Network Issues,Network Operations Team
INC0000116,2016-02-29 09:20:00,2016-03-01 12:02:00,2 - Medium,26.7,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000119,2016-02-29 09:22:00,2016-03-01 09:03:00,2 - Medium,23.683333333333334,Disk Space Issue,Network Issues,Network Operations Team
INC0000121,2016-02-29 09:25:00,2016-02-29 16:31:00,2 - Medium,7.1,API Timeout,Security / Access Issues,Security Operations Team
INC0000122,2016-02-29 09:27:00,2016-03-01 16:50:00,2 - Medium,31.383333333333333,Application Bug,Integration / API Issues,Integration Support Team
INC0000123,2016-02-29 09:29:00,2016-03-02 14:56:00,2 - Medium,53.45,API Timeout,Security / Access Issues,Security Operations Team
INC0000124,2016-02-29 09:30:00,2016-02-29 11:05:00,2 - Medium,1.5833333333333333,API Timeout,Security / Access Issues,Security Operations Team
INC0000125,2016-02-29 09:31:00,2016-03-01 08:32:00,2 - Medium,23.016666666666666,Data Corruption,Network Issues,Network Operations Team
INC0000126,2016-02-29 09:31:00,2016-03-02 14:57:00,2 - Medium,53.43333333333333,API Timeout,Security / Access Issues,Security Operations Team
INC0000128,2016-02-29 09:36:00,2016-03-11 12:15:00,2 - Medium,266.65,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000129,2016-02-29 09:40:00,2016-03-22 13:30:00,2 - Medium,531.8333333333334,Authentication Failure,Application Errors,Application Support Team
INC0000130,2016-02-29 09:41:00,2016-03-03 10:16:00,2 - Medium,72.58333333333333,Authentication Failure,Monitoring / Alerting,Monitoring & DevOps Team
INC0000131,2016-02-29 09:41:00,2016-03-03 09:27:00,2 - Medium,71.76666666666667,Database Issue,Integration / API Issues,Integration Support Team
INC0000132,2016-02-29 09:42:00,2016-03-03 15:18:00,2 - Medium,77.6,Authentication Failure,Network Issues,Network Operations Team
INC0000134,2016-02-29 09:44:00,2016-03-03 08:21:00,3 - Low,70.61666666666666,Memory Leak,Monitoring / Alerting,Monitoring & DevOps Team
INC0000135,2016-02-29 09:45:00,2016-02-29 16:17:00,2 - Medium,6.533333333333333,Disk Space Issue,Security / Access Issues,Security Operations Team
INC0000137,2016-02-29 09:48:00,2016-02-29 11:03:00,2 - Medium,1.25,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000139,2016-02-29 09:50:00,2016-03-01 09:56:00,2 - Medium,24.1,Authentication Failure,Security / Access Issues,Security Operations Team
INC0000140,2016-02-29 09:51:00,2016-03-03 11:59:00,2 - Medium,74.13333333333334,Authentication Failure,Network Issues,Network Operations Team
INC0000141,2016-02-29 09:52:00,2016-03-02 14:58:00,2 - Medium,53.1,API Timeout,Security / Access Issues,Security Operations Team
INC0000146,2016-02-29 09:57:00,2016-03-02 14:59:00,2 - Medium,53.03333333333333,API Timeout,Security / Access Issues,Security Operations Team
INC0000147,2016-02-29 10:00:00,2016-03-14 09:49:00,2 - Medium,335.81666666666666,Server Overload,Security / Access Issues,Security Operations Team
INC0000148,2016-02-29 10:00:00,2016-03-02 15:00:00,2 - Medium,53.0,Network Failure,Security / Access Issues,Security Operations Team
INC0000149,2016-02-29 10:01:00,2016-03-02 15:01:00,2 - Medium,53.0,API Timeout,Security / Access Issues,Security Operations Team
INC0000152,2016-02-29 10:08:00,2016-03-03 09:23:00,2 - Medium,71.25,Authentication Failure,Security / Access Issues,Security Operations Team
INC0000153,2016-02-29 10:10:00,2016-03-02 14:55:00,2 - Medium,52.75,API Timeout,Security / Access Issues,Security Operations Team
INC0000155,2016-02-29 10:12:00,2016-03-02 15:02:00,2 - Medium,52.833333333333336,API Timeout,Security / Access Issues,Security Operations Team
INC0000156,2016-02-29 10:14:00,2016-03-02 15:02:00,2 - Medium,52.8,API Timeout,Security / Access Issues,Security Operations Team
INC0000158,2016-02-29 10:17:00,2016-03-02 15:06:00,2 - Medium,52.81666666666667,API Timeout,Security / Access Issues,Security Operations Team
INC0000159,2016-02-29 10:17:00,2016-03-02 10:09:00,2 - Medium,47.86666666666667,Authentication Failure,Application Errors,Application Support Team
INC0000161,2016-02-29 10:18:00,2016-03-08 09:22:00,2 - Medium,191.06666666666666,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000164,2016-02-29 10:18:00,2016-03-03 14:34:00,2 - Medium,76.26666666666667,Data Corruption,Server Infrastructure,Infrastructure Operations Team
INC0000166,2016-02-29 10:24:00,2016-02-29 16:24:00,2 - Medium,6.0,Authentication Failure,Network Issues,Network Operations Team
INC0000167,2016-02-29 10:27:00,2016-02-29 11:02:00,2 - Medium,0.5833333333333334,Authentication Failure,Database Issues,Database Administration Team
INC0000168,2016-02-29 10:27:00,2016-03-01 09:05:00,2 - Medium,22.633333333333333,Disk Space Issue,Network Issues,Network Operations Team
INC0000169,2016-02-29 10:30:00,2016-03-02 15:06:00,2 - Medium,52.6,API Timeout,Security / Access Issues,Security Operations Team
INC0000171,2016-02-29 10:33:00,2016-03-18 13:44:00,2 - Medium,435.18333333333334,Disk Space Issue,Application Errors,Application Support Team
INC0000172,2016-02-29 10:36:00,2016-02-29 18:24:00,2 - Medium,7.8,Authentication Failure,Application Errors,Application Support Team
INC0000173,2016-02-29 10:36:00,2016-04-11 14:49:00,3 - Low,1012.2166666666667,Network Failure,Security / Access Issues,Security Operations Team
INC0000174,2016-02-29 10:39:00,2016-03-02 13:01:00,2 - Medium,50.36666666666667,Network Failure,Server Infrastructure,Infrastructure Operations Team
INC0000176,2016-02-29 10:40:00,2016-03-02 15:07:00,2 - Medium,52.45,API Timeout,Security / Access Issues,Security Operations Team
INC0000178,2016-02-29 10:45:00,2016-02-29 11:55:00,2 - Medium,1.1666666666666667,Authentication Failure,Database Issues,Database Administration Team
INC0000179,2016-02-29 10:46:00,2016-03-02 09:20:00,2 - Medium,46.56666666666667,Authentication Failure,Security / Access Issues,Security Operations Team
INC0000192,2016-02-29 10:58:00,2016-02-29 11:02:00,2 - Medium,0.06666666666666667,API Timeout,Integration / API Issues,Integration Support Team
INC0000193,2016-02-29 10:59:00,2016-03-01 16:03:00,2 - Medium,29.066666666666666,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000194,2016-02-29 10:59:00,2016-02-29 11:11:00,2 - Medium,0.2,Authentication Failure,Integration / API Issues,Integration Support Team
INC0000195,2016-02-29 11:00:00,2016-03-02 15:15:00,2 - Medium,52.25,Third-Party Service Failure,Security / Access Issues,Security Operations Team
INC0000197,2016-02-29 11:02:00,2016-03-31 11:13:00,2 - Medium,744.1833333333333,Disk Space Issue,Integration / API Issues,Integration Support Team
INC0000204,2016-02-29 11:13:00,2016-02-29 16:43:00,3 - Low,5.5,Unknown System Error,Security / Access Issues,Security Operations Team
INC0000207,2016-02-29 11:19:00,2016-02-29 20:15:00,2 - Medium,8.933333333333334,Authentication Failure,Network Issues,Network Operations Team
INC0000211,2016-02-29 11:23:00,2016-03-03 06:46:00,2 - Medium,67.38333333333334,Authentication Failure,Application Errors,Application Support Team
INC0000213,2016-02-29 11:25:00,2016-02-29 12:53:00,2 - Medium,1.4666666666666666,API Timeout,Security / Access Issues,Security Operations Team
INC0000217,2016-02-29 11:48:00,2016-03-08 09:27:00,2 - Medium,189.65,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000218,2016-02-29 11:53:00,2016-02-29 13:36:00,2 - Medium,1.7166666666666666,Authentication Failure,Network Issues,Network Operations Team
INC0000220,2016-02-29 11:56:00,2016-03-09 17:24:00,2 - Medium,221.46666666666667,Authentication Failure,Security / Access Issues,Security Operations Team
INC0000221,2016-02-29 11:58:00,2016-03-02 14:06:00,2 - Medium,50.13333333333333,Disk Space Issue,Monitoring / Alerting,Monitoring & DevOps Team
INC0000223,2016-02-29 12:01:00,2016-03-03 08:57:00,2 - Medium,68.93333333333334,Network Failure,Security / Access Issues,Security Operations Team
INC0000228,2016-02-29 12:11:00,2016-02-29 16:08:00,2 - Medium,3.95,Data Corruption,Application Errors,Application Support Team
INC0000230,2016-02-29 12:14:00,2016-03-07 15:12:00,2 - Medium,170.96666666666667,Third-Party Service Failure,Security / Access Issues,Security Operations Team
INC0000232,2016-02-29 12:20:00,2016-03-12 21:23:00,3 - Low,297.05,API Timeout,Integration / API Issues,Integration Support Team
INC0000236,2016-02-29 12:26:00,2016-02-29 13:16:00,2 - Medium,0.8333333333333334,API Timeout,Integration / API Issues,Integration Support Team
INC0000237,2016-02-29 12:27:00,2016-03-01 14:04:00,2 - Medium,25.616666666666667,Third-Party Service Failure,Integration / API Issues,Integration Support Team
INC0000246,2016-02-29 12:41:00,2016-03-04 11:56:00,2 - Medium,95.25,Authentication Failure,Database Issues,Database Administration Team
INC0000250,2016-02-29 12:43:00,2016-03-12 21:30:00,2 - Medium,296.78333333333336,API Timeout,Security / Access Issues,Security Operations Team
INC0000253,2016-02-29 12:43:00,2016-03-02 09:08:00,2 - Medium,44.416666666666664,Authentication Failure,Application Errors,Application Support Team
INC0000257,2016-02-29 12:48:00,2016-02-29 22:28:00,2 - Medium,9.666666666666666,Authentication Failure,Server Infrastructure,Infrastructure Operations Team
INC0000259,2016-02-29 12:50:00,2016-03-02 10:39:00,2 - Medium,45.81666666666667,Data Corruption,Network Issues,Network Operations Team
